"pealkiri","liik","aasta","tekst"
"Maastiku lavastamine: Ajalooliste parkide ja maastike taastamine etenduskunsti võtteid kasutades","2. Magistritööd","2013","Käesoleva magistritöö eesmärgiks oli uurida, kuidas läheneda pargile käsitledes seda kui lavastust ning kuidas kasutada etenduskunsti ajalooliste parkide ja maastiku taastamisel. Täpsustavad küsimused esitati etenduskunsti olemuse, teatri ja looduse suhte kohta ning küsiti, milles seisneb pargi lavastuslik olemus ja kuidas läheneb taastatavale pargile restaureerija. Edasine küsimus oli, kuidas täiendada töö mõtteliseks lähtekohaks olevas katse-etenduses „Põgenemises” kasutatud intuitiivset meetodit, et seda saaks kasutada ajalooliste parkide taastamisel ning lõpuks – mida see annab Eesti parkide taastamise konteksti. Kasutatud metoodikaks oli põhistatud teooria (grounded theory), milles algne katse-etendus ja sellest tõusnud küsimused juhatasid kirjanduse valikut, ning tööprotsessi tulemuseks oli maastiku lavastamist seletav teooria ja soovitused. Materjali analüüsimisel kasutati ka suunatud sisuanalüüsi.
Pargid on inimkonna ühismälu kandvad kunstiteosed, mida on vaja säilitada. Parkide taastamisel on mitmeid meetodeid – rekonstrueerimine, restaureerimine, või hooldamine; nimetatud meetodid tegelevad pargi füüsilise tasandiga, ning võivad olla küllaltki aega ja raha nõudvad. Ida-Euroopa kontekstis, sh Eestis, on tulenevalt minevikusündmustest paljud pargid hooldamata või rikutud ning järjepidevus kadunud. Selline olukord loob võimaluse pakkuda uusi ja traditsioonilisest erinevaid lahendusi parkide taastamisel.
Töö käsitleb kahte esmapilgul erinevat teemat – etenduskunst ja parkide restaureerimine ning on esmakordne katse ühendada neid valdkondi läbi maastikuarhitektuuriteooria. Park ja lavastus toimivad paljuski ühtemoodi nii füüsilisel tasandil kui mõttelisel tähendustasandil, mille seovad tervikuks interaktsioon ja mäng. Läbi kunsti on meile tunnetuslikus vormis kättesaadavad ka sadu või tuhandeid aastaid tagasi hääbunud aiad ja maastikud. Pargi mõistmine on tõlgenduslik protsess, mille võib inimteadvuses algatada mitmel viisil – käies füüsiliselt korrektselt taastatud pargis või ka lihtsalt pargiradadel loodud luuletust lugedes. Käesolev töö uuris võimalust taastada parki tema mittefüüsilisel tasandil – seal, kus hermeneutilise filosoofia jälgedes käies kogetav park või maastik lõplikult konstrueeritakse – inimese meeles
Maastikulavastus on ruumisuhteid illustreeriv ja ajalugu etendav kunstiline sündmus – mäng, mis ühtepidi on meelelahutus ent teisipidi harib nii osalejat kui etendajat ennast ümbritsevast keskkonnast. Etendusena taastatud park on ajutine, ruumiga aktiivselt suhestuv, selles kohanev ja seda täielikult aktsepteeriv; maastikulavastus on ainukordne ajutine kunstiline sündmus, mis säilib vaid osalejate mälus. Töös esitatud materjali põhjal uuriti, kuidas sellist etendust kasutada ajalooliste parkide ja maastike taastamisel.
Tulemuseks oli põhjalik seitsme-etapiline tööprotsess maastikulavastuste kavandamiseks ja läbiviimiseks koos soovitustega kasutamiseks parkide taastamisel: 1. lavastuse objekti(pargi) või idee valik 2. tõlgendusprotsess – lavastatava pargi olemuse ja ajaloo uurimine ning stsenaariumi kavandamine 3. lavastuskoha valik 4. lavastuse kestus – etendus või installatsioon 5. Etenduse tehniline planeerimine: vahendite valimine – näitlejad, valgus, tehnika; lavaruumi ja rollide defineerimine 6. Etenduse keskkonnamõju hindamine 7. Lavastuse toimumine."
"Toiduainetetööstusettevõtte tootmisosakonna töökeskkond ja töötaja energeetiline koormatus","2. Magistritööd","2016","Antud uuringus osalev toiduainetetööstusettevõttes toodetakse nii moose, lõunatoite,
suppe, kastmeid ja majoneese, konserveeritud kurke ja salateid ning ka jooke.
Toiduainetetööstusettevõtte töötajate töö tegemisel esineb palju sundasendeid,
korduvliigutusi, raskuste käsitsi teisaldamist ning töö on enamasti füüsiliselt raske.
Lõputöö eesmärgiks oli analüüsida toiduainetetööstusettevõtte töötajatel tööga seotud
terviseprobleeme, välja selgitada tootmisosakonna töökeskkonna ohutegurid ja määrata
töötajate töö energeetiline koormatus. Töötajatel esinevate terviseprobleemide
väljaselgitamiseks viidi läbi anonüümne ankeetküsitlus, mõõdeti uuritavatel pulssi kolme
tööpäeva vältel ja samaaegselt mõõdeti vastavas tööruumis füüsikaliste ohutegurite
parameetreid. Selgus, et töötajatel kõige enam koormatud kehapiirkondadeks osutusid
jalad, käed, kaela-õlapiirkond ja alaselg. Töökoha füüsikaliste ohutegurite parameetrite
väärtused jäid tööpäeva lõikes enamjaolt normidega lubatud piiridesse. Kolme töötaja töö
raskusaste muutus, arvestades keskmist ja suurimat pulssi, kergest kuni keskmiselt raskeks,
energeetiline koormatus keskmise pulsi järgi jäi vahemikku 100...148 W ja suurima pulsi
järgi 200...295 W. Arvestades uurimistöö tulemusi, soovitati teha edaspidi töö korralduses
korrektuure ja vastavaid koolitusi töötajatele ning hinnata töötajate töö raskusastet ja
energeetilist koormatust peale korrektuure ja koolitusi, selgitamaks terviseriskide
vähenemist ja töövõtete parenemist."
"Eesti ja Läti turismiettevõtjate koolitusvajaduste analüüs teenuste pakkumisel Jaapani turismiturule","2. Magistritööd","2018","Jaapani turistide huvi Eesti ja Läti vastu on suur ja nad külastavad neid ühise Euroopa reisi
raames. Varem on tehtud uuringuid Eesti turustamisest Jaapani turismiturule, klientide
profiilist ja turupotentsiaalist. Antud töö aktuaalsus, seisneb selles, et varem ei ole uuritud
Eesti ja Läti turismiettevõtjate koolitusvajadust seonduvalt orienteerumisega Jaapani
turule. Käesoleva magistritöö eesmärgiks on selgitada välja ja analüüsida Eesti ja Läti
turismiettevõtjate teadmiste taset ning koolitusvajadust Jaapani turismituruga seoses.
Uurimismeetodina on autor kasutanud kvantitatiivset uurimismeetodid ning magistritöö
raames viidi Eesti ja Läti turismiettevõtjate seas läbi ankeetküsitlus. Andmete
analüüsimisel kasutati statistilist andmeanalüüsi.
Magistritöö tulemusena valmib Eesti ja Läti turismiettevõtjate koolitusvajaduste analüüs,
ülevaade soovituslikust edasisest koolitustegevusest ning ettepanekud, kuidas tõsta
turismiettevõtjate teadmisi ja parandada oskusi teenuste pakkumisel Jaapani turismiturule."
"Hariliku kuuse (Picea Abies L.) tervisliku seisundi hinnang uuenenud raielangil","1. Bakalaureusetööd","2017","Bakalaureusetöös uuritakse hariliku kuuse (Picea abies L.) taimede tervislikku seisundit
viljakate kasvukohatüüpide puistutes ning juurepessu (Heterobasidion spp.) levikut
mõjutavaid aspekte.
Bakalaureusetöö eesmärgiks on teada saada, kui suur osa uuritud aladel kasvavatest harilikest
kuuskedest on nakatunud juurepessu; millised juured on mädanikust rohkem nakatunud, kas
peen- või jämejuured, ning võrrelda juuremädaniku levikut juuritud ja juurimata aladel.
Uurimuse jaoks koguti 2015. ja 2016. aasta sügisel kuuelt proovialalt Tartumaa, Võrumaa
ning Lääne-Virumaa metskondadest 236 juureproovi 118-lt harilikult kuuselt vanuses 5-8
aastat. Kolm prooviala (Rõuge, Elva, Viru) olid jaotatud sektoriteks, kus kahes korduses
esinesid juuritud ja kontrollalad (juurimata), et hinnata kändude juurimise mõju juurepessu
levikule. Kolmelt alalt (Tartu I, Tartu II, Tartu III) koguti proovid vaid juurimata aladelt.
Kogutud juureproove analüüsiti laboris teostades liigispetsiifilisi DNA analüüse juurepessu
tuvastamiseks ning liigi määramiseks. 118-st uuritud harilikust kuusest oli juurepessu
nakkusega 37 puud, mis moodustab 31,4% uuritud puude arvust. Enim määrati kuusejuurepessu
(Heterobasidion parviporum) esinemist (23,7%), kuid kuuse juureproovides esines
ka männi-juurepessu (Heterobasidion annosum) – 9,3% juurtest olid nakatunud.
Juuretüüpidest oli aga enim nakatunud juurepessuga jämejuured, moodustades ca 9,7 %
kogutud proovide hulgast (236 juureproovi) , millest enim tuvastati kuuse-juurepessu
esinemist.
Juuritud aladest esines juurepessu kõige enam Viru alal – 11st kogutud puu juurestikust oli juurepessuga nakatunud 7 puud (64%). Kõige suurema juurepessu kahjustusega olid sinilille
kasvukohatüübi alad (Viru ja Tartu III), sellele järgnesid jänesekapsa (Elva, Tartu I, Tartu II)
ja jänesekapsa-mustika (Rõuge) kasvukohatüüpides olevad proovialad."
"Piirikaubanduse mõju väikepoodidele Põhja-Sakala vallas","1. Bakalaureusetööd","2019","2015. aastal Eesti valitsuse otsus aktsiisimakse oluliselt tõsta, lõi soodsad tingimused
piirikaubanduse hoogustamiseks. Alguse sai see eelkõige alkoholiaktsiiside tõstmisest,
kui odavamate jaehindade tõttu hakati Lätist alkoholi ostma. Esialgu mõjutas see pigem
Lõuna-Eesti poode, kuid on mõju avaldanud ka teistele piirkondale ja kogu Eesti
majandusele. Uurimistöö eesmärk on hinnata piirikaubanduse mõju väikepoodidele
Põhja-Sakala vallas. Töö teoreetilise osa tegemisel kasutati strateegilise juhtimise, avaliku
sektori-, makro- ja mikroökonoomika valdkonna teooriaid, piirikaubanduse kohta tehtud
uuringuid ja oluliste isikute väljaütlemisi. Empiirilises osas kirjeldati uurimiseks
kasutatavaid andmeid, nende saamist ja toodi välja saadud tulemused ning esitati
üldistused. Käesoleva uurimistöö tegemiseks kasutati kvalitatiivset uurimismeetodit,
intervjueeriti Põhja-Sakala valla väikepoodide juhatajaid. Selgus, et Põhja-Sakala valla
väikepoodidele on piirikaubanduse mõju teatud määral tuntav, kuid mitte nii palju kui
Lõuna-Eestis. 2017. aasta oli mõne poe jaoks raske, kuid tullakse toime. Aktsiisitoodete
hinnad on palju tõusnud ja tuntavad ka põhitarbijatele, ostetakse rohkem soodustooteid.
Käibed on pigem stabiilsed, kuigi aktsiisitooteid ostetakse vähem, katavad hinnad
tekkinud vahe. Aktsiise veelgi tõstes, on võimalik, et tuleb ka Põhja-Sakala valla poode
sulgeda. Eesti aktsiisipoliitika tekitas juhatajates rahulolematust. Lisaks arvatakse, et seda
pole võimalik tagasi pöörata ja olukorra parandamiseks peaks aktsiise langetama."
"Kuluarvestussüsteemi täiustamine osaühingus Estonia","2. Magistritööd","2021","Iga organisatsioon vajab kuluarvestussüsteemi, milles näidatakse, kuidas ettevõttes tekkivaid kulusid liigitada ja analüüsida erinevate eesmärkide saavutamiseks nii majandustegevuse hindamisel kui ka juhtimisotsuste langetamisel. Kulude klassifitseerimise võimalused tulenevad esmalt sellest, et saaks koostada finantsaruandeid vastavalt finantsaruandluse standardile. Teiseks aina rohkem soovitakse ettevõtetes saada täpsemat ülevaadet nii kulude kujunemisest kui ka nende kulude seostest erinevate tegevustega. Kuluarvestussüsteemi ülesandeks ongi võimaldada kasutajatele detailsemat kulude arvestamist, kiiremat aruannete genereerimist ning eelarvete jälgimist, mis on võimalik saavutada läbi asjakohaste protsesside. Jätkusuutlikuna püsimiseks peavad ettevõtte sisesed infotarbijad tõepäraste juhtimisotsuste tegemiseks kulud eristama kulukohtade, kuluobjektide ja kululiikide lõikes. Magistritöö eesmärk on kuluarvestussüsteemi täiendamine ettevõtte juhtkonna infovajaduse rahuldamiseks.
Magistritöös viidi läbi juhtumiuuring. Uuriti osaühing Estonia kulude liigitamise võimalusi kulukohtade ja objektide vahel, kasutatavat kontoplaani ja muid dokumente. Viidi läbi intervjuu juhatuse liikmega. Magistritöös käsitletud teooria ja ettevõtte juhatuse liikmega läbi viidud intervjuu põhjal parendati ettevõtte kuluarvestussüsteemi.
Magistritöö empiirilises osas analüüsiti osaühing Estonia olemasolevat kuluarvestussüsteemi. Analüüsi tulemusteks oli eristada taimekasvatuse, loomakasvatuse, abitootmise ja järgmise aasta saagiks tehtud kulukohtadele lisaks üldkulukoht, mis jaguneks taimekasvatuse üldkuluks, loomakasvatuse üldkuluks ja ettevõtte üldkuluks. Ettevõtte üldkulud jaotati müügituluga proportsionaalselt taimekasvatusele ja loomakasvatusele ning siis jaotati laiali kulukäituri abil kuluobjektidele. Taimekasvatustoodangu omahinna arvestust rakendatud ei ole. Tehtud tööde (teenuste) hinnad taimekasvatuskultuuridele olid ettevõtte juhtkonna poolt fikseeritud ja kaasajastamata, mis moonutas põllukultuuri kuluinformatsiooni. Ettevõttes tehtud tööde hindade kaasajastamiseks moodustati taimekasvatuses tegevuste kulukohad, mis võimaldab jaotada detailsemalt töötunde ja töötasusid ning masinatega seotud kulusid."
"Energia metabolism ja -allikad sporthobuste söötmisel. Söötade glükeemiline indeks","2. Magistritööd","2015","Antud magistritöö eesmärgiks oli õppida tundma sporthobuste energia ainevahetust,
ainevahetusenergia tootmise võimalusi erinevatest orgaanilistest ainetest ja määrata
mõningate hobuste söötmisel enam kasutatavate energiarikaste söötade glükeemiline indeks.
Teoreetilises osas antakse ülevaade söötade seedest ja ainevahetusenergia prekursoritest
hobustel. Võrreldakse erinevate energiaallikate kasutamise efektiivsust sporthobuste erineva
füüsilise koormuse korral. Käsitlemist leiab ka energiarikaste söötade söötmisega seonduvad
ainevahetushaigused.
Töö eksperimentaalses osas on ära toodud kasutatud glükeemilise indeksi määramise
metoodika hobustel, samuti katsetulemused nelja uuritud sööda kohta. Katsesse valiti kaer,
oder, suhkrupeedi difusioonlõigud ning kommertsiaalne hobuste sööt Subli. Katse
standardsöödaks võeti kaer, mille glükeemiliseks indeksiks võeti kokkuleppeliselt 100. Teiste
söötade mõju vere glükoosisisalduse tõusule võrreldi suhtarvuna kaera vastu. Odra
glükeemiliseks indeksiks kujunes antud katsetes 110,8, Subli söödal 76,5 ja suhkrupeedi
difusioonlõikudel vaid 11,2.
Katsetulemuste erinevus oli uuringus kasutatud hobuste vahel suur, suur erinevus oli ka
katsesöötade söömuse ja söömise kiiruste vahel. Kõik see kinnitab, et looma mõju söötade
glükeemilisele indeksile on suur ja seda tuleb arvestada tulemuste interpreteerimisel ning
glükeemilise indeksi kui näitaja kasutamist hobuste praktilisel söötmisel. Hobuste energia
ainevahetuse, samuti söötade vere glükoositaset mõjutavate tegurite tundmine aitab vältida
sporthobustel nii sageli esinevaid energiaga seotud ainevahetushaiguseid."
"Kaubasadamate kaide esiseinte metallkonstruktsioonide korrosioonist tulenevad probleemid ja lahenduste pakkumine Muuga sadama kai nr.7 näitel","2. Magistritööd","2014","Magistritöö eesmärgiks oli uurida kai terasest esiseina konstruktsioonide vigastuste 
põhjuseid, hinnata teostatud remonttöid ja välja pakkuda alternatiivne remontlahendus 
Muuga sadama kai nr.7 näitel, ning kirjeldada võimalusi kuidas pikendada kaide eluiga 
ehitatavatel ja juba ekspluateeritavatel kaidel. 
Vigastatud kai esiseina sulundseinaelementide remonttööde käigus, väliskeskkonnast 
eraldamiseks betooniga, paigaldati algselt raketisplaadina töötav metallplaat, mis 
asendati alternatiivlahenduses raudbetoonist plaadiga. Raudbetoon plaadi 
dimensioneerimiseks vajalikud sisejõud leiti arvutiprogrammiga Autodesk Robot 
Structural Analysis Professional 2013. Alternatiivlahenduse konstruktsiooni joonised 
joonestati üles arvutiprogrammiga AutoCad 2010. Sarnaselt remontööde lahendusele 
suurendati alternatiivlahendusega sulundielementide korrosioonikaitset, loodete ja 
pritsmetsoonis, ka vaiade korrosioonikindlust betoneerimisega. Pakutava lahendusega 
vähendati oluliselt kulukate tööde mahtu, nagu näiteks veealused keevitustööd. Samuti 
puudub alternatiivlahenduse korral vajadus teostada kessoonkambrist vaiade 
korrosioonikaitsetöid. 
Lisaks omapoolsele remonttööde lahendusele on magistrant välja toonud lahendusi 
kaide eluea pikendamiseks, mis hõlmavad mereehitiste puhul tuntuid ja ka uudseid 
lahendusi korrosioonikulumi vähendamiseks, kai täitepinnase jälgimiseks ja 
ilmastikutingimustest tingitud jõudude vähendamiseks."
"Ülikondensaatori katsestend","1. Bakalaureusetööd","2021","Paljud on küll kuulnud ülikondensaatorist ja selle headest omadustest millest olulisemateks võiks lugeda kiiret laadimist ning väga suurt laadimis- tühjenemistsüklite arvu, kuid ülikoolis tudengina pole olnud võimalust ülikondensaatorit näha või katsetada. Selle bakalaureusetöö eesmärgiks ongi valmistada katsestend kus tudengid saavad laboratoorses töös kokku panna katsestendi vastavalt skeemile, ning seejärel katsestendiga teostada mõõtmisi millest järeldada kuidas käitub ülikondensaator laadimisel ja tühjenemisel.
Töö teoreetilises osas antakse ülevaade energiasalvestitest ja nende põhiparameetritest, ning kirjeldatakse ülikondensaatori ehitust, omadusi ja kasutusvaldkondi. Töö praktiline osa hõlmab endas katsestendi skeemi valmistamist programmiga Circuit wizard ning skeemi põhjal valmistati reaalne ülikondensaatori katsestend. Viimases osas on lõputöö autori poolt koostatud laboratoorne töö, mille vajalikud mõõtmised teostatakse ülikondensaatori katsestendiga. Katsestendiga on võimalik mõõta kuidas pinge muutub ülikondensaatori täitumisel ning on võimalik jälgida pinge muutumist ka ülikondensaatori tühjenemisel."
"Metsanduse sotsiaalsed aspektid","1. Bakalaureusetööd","2013","Metsadel on maailmas tähtis roll. Tänu oma multifunktsionaalsusele pakuvad metsad inimkonnale
mitmeid hüvesid. Käesoleva bakalaureusetöö eesmärgiks on metsandust puudutavate ühiskondlike
valdkondade täpsem kaardistamine. Kuna eesmärgiks on uurimisvaldkonna tutvustamine on
teemakäsitlus teoreetilist laadi ja põhineb kirjandusallikate refereerimisel ja analüüsil.
Esimeses töö osas on kirjeldatud olukorda maailma metsanduses ja Eestis. Maailmametsanduse
olukorra analüüs tugineb peaasjalikult erinevatel FAO uuringutel, eelkõige ülemaailmse
metsaressursside hindamise raportil. Teises osas avatakse erinevate sotsiaalsete aspektide olemus,
eelkõige Eesti näitele tuginedes. Eesti näidete puhul on kasutatud valdavalt Eesti metsanduse
arengukava aastani 2020 ja Aastaraamat „Mets 2010” andmeid.
Tööst ilmneb, et kuigi metsandussektoris toimuvad muutused, on metsade sotsiaalne tähtsus
suurenemas. Seda eelkõige nii puhkemetsanduse kui looduskaitse seisukohast. Lisaks selgub, et
erinevad sotsiaalsed aspektid on omavahel tihedalt seotud. Bakalaureusetöö ei hõlma endas aga
kõiki võimalikke metsandust puudutavaid sotsiaalseid aspekte, vaid piirdub autori poolse valikuga.
Seega on kindlasti võimalik seda uurimisvaldkonda põhjalikumalt edasi uurida."
"Tartu maakonna rohelise võrgustiku analüüs planeeringutes","2. Magistritööd","2018","Rohelise võrgustiku olemasolul ja selle säilitamisel on oluline roll elurikkuse kaitsel ja
säilitamisel ning kliimamuutuste mõjude leevendamisel ja nendega kohanemisel.
Uurimistöö eesmärk on analüüsida Tartu maakonna rohelist võrgustikku, selle paiknemist
ja määratlemist kolme planeeringu alusel - valla üldplaneering, Tartumaa
maakonnaplaneeringu teemaplaneering “Asustust ja maakasutust suunavad
keskkonnatingimused” ja Tartumaa maakonnaplaneering 2030+.
Rohelise võrgustiku analüüsis kasutatakse Laeva, Nõo, Rõngu ja Ülenurme valla
üldplaneeringuid, Tartumaa maakonnaplaneeringu teemaplaneeringut ja Tartumaa
maakonnaplaneeringut 2030+. Analüüsis arvestatakse valdade halduspiire 15.10.2017
kuupäeva seisuga. ArcMap programmiga analüüsitakse rohevõrgustiku ruumilist
täpsustamist ja määratlemist planeeringutes.
Kokkuvõtvalt võib öelda, et Tartu maakonna roheline võrgustik on pärast selle
esmakordset määratlemist Tartumaa maakonnaplaneeringu teemaplaneeringus “Asustust
ja maakasutust suunavad keskkonnatingimused” saanud täiendust üldplaneeringute ja
Tartumaa maakonnaplaneeringu 2030+ näol. Üldplaneeringu, teemaplaneeringu ja
maakonnaplaneeringu määratud rohevõrgustiku paiknemise vahel on palju sarnasusi ja ka
erinevusi. Laeva, Nõo, Rõngu ja Ülenurme valla üldplaneeringud on kõik 
teemaplaneeringus sätestatud rohevõrgustiku kasutustingimusi täiendanud ja omapoolsed
täpsustused kirja pannud ning rohevõrgustiku piirid digitaalsele kaardikihile kandnud.
Maakonnaplaneering on rohelist võrgustikku planeerides võtnud arvesse ka
üldplaneeringutes määratud rohevõrgustikku, kuid on ka mitmeid alasid, kus
maakonnaplaneeringu ja üldplaneeringu planeeritud rohevõrgustikud omavahel ei kattu."
